Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
AAPL,AAPL,Apple Inc.,280.14,33.915257,29.386591,4109006274560.0,,1.08,0.39,USD,EQUITY,Technology,Consumer Electronics,0.0692091524397274
NVDA,NVDA,NVIDIA Corporation,198.45,40.5,17.656982,4823327440896.0,2.335,0.04,0.02,USD,EQUITY,Technology,Semiconductors,0.0593496381573215
MSFT,MSFT,Microsoft Corporation,414.44,24.69845,21.452034,3078640631808.0,1.107,3.64,0.88,USD,EQUITY,Technology,Software - Infrastructure,0.0584008785436112
AMZN,AMZN,"Amazon.com, Inc.",268.26,32.050182,27.244532,2884935614464.0,1.383,,,USD,EQUITY,Consumer Cyclical,Internet Retail,0.0425499486683522
GOOGL,GOOGL,Alphabet Inc.,385.69,29.419529,27.129019,4672805404672.0,1.128,0.84,0.22,USD,EQUITY,Communication Services,Internet Content & Information,0.0423087098196338
GOOG,GOOG,Alphabet Inc.,383.22,29.231123,26.955282,4635812691968.0,1.128,0.88,0.23,USD,EQUITY,Communication Services,Internet Content & Information,0.0423086720892176
META,META,"Meta Platforms, Inc.",608.745,22.120094,16.826385,1545252503552.0,1.309,2.1,0.34,USD,EQUITY,Communication Services,Internet Content & Information,0.0265813329085953
TSLA,TSLA,"Tesla, Inc.",390.82,358.55045,154.14774,1467812020224.0,1.915,,,USD,EQUITY,Consumer Cyclical,Auto Manufacturers,0.0243174937863789
AVGO,AVGO,Broadcom Inc.,421.28,81.96109,23.252079,1994621059072.0,1.253,2.6,0.62,USD,EQUITY,Technology,Semiconductors,0.0185529040232474
BRK-B,BRK-B,Berkshire Hathaway Inc. New,473.01,15.243635,21.747606,1020221521920.0,0.699,,,USD,EQUITY,Financial Services,Insurance - Diversified,0.0176094184142796
WMT,WMT,Walmart Inc.,131.6,48.382355,40.093105,1048982388736.0,0.661,0.99,0.75,USD,EQUITY,Consumer Defensive,Discount Stores,0.0133315249578394
LLY,LLY,Eli Lilly and Company,963.33,34.245647,22.059313,862005886976.0,0.504,6.23,0.65,USD,EQUITY,Healthcare,Drug Manufacturers - General,0.0124222278222706
JPM,JPM,JP Morgan Chase & Co.,312.47,14.950718,13.278351,837263360000.0,1.043,6.0,1.92,USD,EQUITY,Financial Services,Banks - Diversified,0.0120348036549762
V,V,Visa Inc.,328.03,28.574043,22.398832,623828992000.0,0.799,2.68,0.82,USD,EQUITY,Financial Services,Credit Services,0.0110688708065074
MA,MA,Mastercard Incorporated,495.46,28.655869,21.785109,437637808128.0,,3.48,0.7,USD,EQUITY,Financial Services,Credit Services,0.0087193282229185
ORCL,ORCL,Oracle Corporation,171.83,30.849192,21.394724,494191017984.0,1.597,2.0,1.16,USD,EQUITY,Technology,Software - Infrastructure,0.0085374351921528
XOM,XOM,Exxon Mobil Corporation,152.75,25.715488,15.022768,634914471936.0,0.288,4.12,2.7,USD,EQUITY,Energy,Oil & Gas Integrated,0.0083714826727031
UNH,UNH,UnitedHealth Group Incorporated,368.78,27.853476,17.769388,334930870272.0,0.408,8.84,2.4,USD,EQUITY,Healthcare,Healthcare Plans,0.0082806891423673
COST,COST,Costco Wholesale Corporation,1011.7,52.63788,45.01612,448843284480.0,0.978,5.88,0.58,USD,EQUITY,Consumer Defensive,Discount Stores,0.007619493664505
PG,PG,Procter & Gamble Company (The),147.26,21.56076,20.769424,342909485056.0,0.403,4.26,2.89,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0071207270389399
HD,HD,"Home Depot, Inc. (The)",323.88,22.776371,19.865234,322593423360.0,1.085,9.32,2.88,USD,EQUITY,Consumer Cyclical,Home Improvement Retail,0.0070164908687495
NFLX,NFLX,"Netflix, Inc.",92.06,29.696774,23.966032,387646095360.0,1.669,,,USD,EQUITY,Communication Services,Entertainment,0.0069910576205273
JNJ,JNJ,Johnson & Johnson,227.19,26.32561,17.874283,546895626240.0,0.329,5.36,2.36,USD,EQUITY,Healthcare,Drug Manufacturers - General,0.00625788135158
BAC,BAC,Bank of America Corporation,53.24,13.243782,10.559406,379596341248.0,1.237,1.12,2.1,USD,EQUITY,Financial Services,Banks - Diversified,0.0060974392415119
CRM,CRM,"Salesforce, Inc.",183.82,23.59692,12.313518,150374645760.0,1.288,1.76,0.96,USD,EQUITY,Technology,Software - Application,0.0059168420147283
ABBV,ABBV,AbbVie Inc.,206.6,100.780495,12.773595,365426311168.0,0.364,6.92,3.35,USD,EQUITY,Healthcare,Drug Manufacturers - General,0.0055822292289272
KO,KO,Coca-Cola Company (The),78.58,24.710691,22.593056,338129747968.0,0.361,2.12,2.7,USD,EQUITY,Consumer Defensive,Beverages - Non-Alcoholic,0.0048477981288716
TMUS,TMUS,"T-Mobile US, Inc.",196.06,20.835281,14.055044,212177043456.0,0.422,4.08,2.08,USD,EQUITY,Communication Services,Telecom Services,0.0045997825436772
CVX,CVX,Chevron Corporation,190.63,33.210804,16.143047,379715682304.0,0.587,7.12,3.73,USD,EQUITY,Energy,Oil & Gas Integrated,0.004582197222029
MRK,MRK,"Merck & Company, Inc.",112.16,31.50562,11.521623,277021655040.0,0.275,3.4,3.03,USD,EQUITY,Healthcare,Drug Manufacturers - General,0.0044623948969961
WFC,WFC,Wells Fargo & Company,80.81,12.489954,10.259164,247293902848.0,1.056,1.8,2.23,USD,EQUITY,Financial Services,Banks - Diversified,0.0042134876359495
CSCO,CSCO,"Cisco Systems, Inc.",91.85,33.03957,20.358088,362797662208.0,0.819,1.68,1.83,USD,EQUITY,Technology,Communication Equipment,0.004193244088571
ACN,ACN,Accenture plc,179.83,14.752256,12.063776,110673698816.0,1.236,6.52,3.63,USD,EQUITY,Technology,Information Technology Services,0.0041228261620705
NOW,NOW,"ServiceNow, Inc.",91.16,54.26191,18.222343,94014046208.0,1.005,,,USD,EQUITY,Technology,Software - Application,0.0040506148617239
AXP,AXP,American Express Company,319.68,19.955055,15.903132,218126123008.0,1.133,3.8,1.19,USD,EQUITY,Financial Services,Credit Services,0.0037850469689955
MCD,MCD,McDonald's Corporation,286.64,23.986612,19.967901,203751653376.0,0.532,7.44,2.6,USD,EQUITY,Consumer Cyclical,Restaurants,0.0037734940924097
PEP,PEP,"Pepsico, Inc.",157.41,24.672415,17.19762,215170170880.0,0.41,5.69,3.61,USD,EQUITY,Consumer Defensive,Beverages - Non-Alcoholic,0.0037714430905654
BX,BX,Blackstone Inc.,126.35,32.397434,16.72987,154432798720.0,1.735,4.97,3.93,USD,EQUITY,Financial Services,Asset Management,0.003727941394506
IBM,IBM,International Business Machines,232.2,20.530502,17.281775,218241368064.0,0.685,6.76,2.91,USD,EQUITY,Technology,Information Technology Services,0.0037157126128858
DIS,DIS,Walt Disney Company (The),103.08,15.1811495,14.053725,182608265216.0,1.441,1.5,1.46,USD,EQUITY,Communication Services,Entertainment,0.0036500608043532
LIN,LIN,Linde plc,507.92,33.659378,25.769663,234835443712.0,,6.4,1.26,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0036349300231416
TMO,TMO,Thermo Fisher Scientific Inc,469.21,25.766613,17.149927,174368456704.0,0.972,1.76,0.38,USD,EQUITY,Healthcare,Diagnostics & Research,0.0036063330205653
MS,MS,Morgan Stanley,190.17,17.209955,15.024222,301963378688.0,1.182,4.0,2.1,USD,EQUITY,Financial Services,Capital Markets,0.0035778648319882
ABT,ABT,Abbott Laboratories,89.46,25.058825,14.75276,155822604288.0,0.782,2.52,2.82,USD,EQUITY,Healthcare,Medical Devices,0.0035645619125812
ADBE,ADBE,Adobe Inc.,250.71,14.61866,9.501518,101336981504.0,1.518,,,USD,EQUITY,Technology,Software - Infrastructure,0.003541476793231
AMD,AMD,"Advanced Micro Devices, Inc.",360.54,138.66924,32.369133,587828363264.0,1.963,,,USD,EQUITY,Technology,Semiconductors,0.003480503261541
PM,PM,Philip Morris International Inc,166.38,23.433804,18.20942,259313025024.0,0.451,5.88,3.53,USD,EQUITY,Consumer Defensive,Tobacco,0.0034748504787919
ISRG,ISRG,"Intuitive Surgical, Inc.",457.78,55.55583,38.830322,162128674816.0,1.679,,,USD,EQUITY,Healthcare,Medical Instruments & Supplies,0.0033606054313921
PLTR,PLTR,Palantir Technologies Inc.,144.07,228.68256,77.162445,345358434304.0,1.674,,,USD,EQUITY,Technology,Software - Infrastructure,0.0033012985229311
GE,GE,GE Aerospace,286.51,35.591305,32.979458,299354161152.0,1.428,1.88,0.66,USD,EQUITY,Industrials,Aerospace & Defense,0.0032784613042062
INTU,INTU,Intuit Inc.,399.04,25.979168,15.067962,111042494464.0,1.213,4.64,1.16,USD,EQUITY,Technology,Software - Application,0.0032401510776038
GS,GS,"Goldman Sachs Group, Inc. (The)",923.71,16.862177,14.133632,274113658880.0,1.311,18.0,1.95,USD,EQUITY,Financial Services,Capital Markets,0.0031971277914314
CAT,CAT,"Caterpillar, Inc.",889.67,44.240177,30.703081,413952180224.0,1.519,6.04,0.68,USD,EQUITY,Industrials,Farm & Heavy Construction Machinery,0.0031795032655226
TXN,TXN,Texas Instruments Incorporated,281.02,48.037605,30.749332,255754272768.0,0.994,5.68,2.02,USD,EQUITY,Technology,Semiconductors,0.0030668986069218
QCOM,QCOM,QUALCOMM Incorporated,177.01,19.053822,16.649485,186568540160.0,1.279,3.68,2.08,USD,EQUITY,Technology,Semiconductors,0.003056010434153
VZ,VZ,Verizon Communications Inc.,48.11,11.734147,9.1467705,200907358208.0,0.27,2.83,5.88,USD,EQUITY,Communication Services,Telecom Services,0.0030241609517909
